feature,importance
C5,918206.7758994102
C1,629603.0151475072
C14,508235.7999610901
D2,453398.3222426176
D3,346144.9420182705
TransactionAmt,299558.64816568047
card1,284909.0853680372
card2,263078.0756677389
C13,258002.96241933107
addr1,212407.58312749863
C2,199609.30327653885
M5_freq,187842.52821159363
addr1_time_since_first_seen,171649.48705887794
D15,165297.74738916755
P_emaildomain_time_since_first_seen,162574.62204551697
D8,161679.16894489527
card6_freq,154129.00867176056
C6,153034.13954353333
card1_604800s_amount_mean,149938.44110524654
D10,143017.83085674047
C11,138455.1300048828
R_emaildomain_freq,137311.74131298065
card1_604800s_count,132813.1522027254
D4,132712.12478542328
DeviceInfo_time_since_first_seen,127868.90438365936
card5,116579.85468697548
D1,112986.33105182648
dist1,109102.93814575672
P_emaildomain_freq,102758.71159124374
C8,100771.5250453949
M4_freq,92994.81282520294
D5,92971.3244562149
card1_time_since_last,82973.77340862155
card1_time_since_first_seen,73579.59825468063
card3,73148.07376480103
C9,67804.90210366249
card1_86400s_count,62824.21621918678
D11,62660.40576219559
id_20,56810.221170425415
card1_86400s_amount_mean,56182.194729715586
M6_freq,55413.25401592255
id_17,54332.874364852905
C4,47575.89317369461
id_02,46500.680107831955
ProductCD_freq,45417.80872917175
id_01,44861.90457010269
card1_3600s_amount_mean,30801.822240173817
id_30_freq,26663.060417175293
id_32,26520.202697753906
id_19,26378.26091480255
DeviceInfo_freq,25856.258492469788
id_33_freq,25489.59605360031
D6,24275.336631774902
id_31_freq,22901.36234855652
id_05,22560.29702949524
id_13,22249.998316526413
C12,21986.35784482956
dist2,21862.324602127075
M3_freq,19918.6416015625
id_06,19836.862607121468
card4_freq,19748.42650604248
id_14,18474.50682926178
D14,17717.37562084198
card1_3600s_count,16057.250416897237
D13,15392.372357845306
id_18,14894.727977752686
D7,13530.469244003296
C10,12971.029210567474
D12,12881.063383102417
C7,11970.617477416992
D9,11542.27256321907
id_09,11348.543518185616
id_12_freq,10683.54211807251
C3,9867.323360443115
addr2,6984.0606117248535
id_36_freq,6785.127044677734
id_03,6196.372352600098
M9_freq,6002.843143463135
M2_freq,5704.54186630249
M8_freq,3671.905902862549
M7_freq,3254.096035003662
id_04,3092.2429962158203
DeviceType_freq,2877.6244163513184
id_38_freq,2683.7667236328125
id_16_freq,2654.6471786499023
id_11,2321.0155963897705
id_37_freq,2093.843894958496
id_34_freq,1971.6925010681152
id_08,1611.2228927612305
id_25,1557.0597972869873
id_07,1438.7653007507324
id_15_freq,1400.9501094818115
id_21,1271.5909099578857
DeviceInfo_is_new,594.7412033081055
M1_freq,402.2111053466797
id_10,391.34989166259766
id_24,316.74709701538086
id_28_freq,185.58599853515625
id_22,182.7270050048828
id_26,171.50479888916016
addr1_is_new,0.0
card1_is_new,0.0
P_emaildomain_is_new,0.0
id_29_freq,0.0
id_27_freq,0.0
id_23_freq,0.0
id_35_freq,0.0
