feature,mean_abs_shap
C5,0.4548172537098627
C13,0.26410837258869285
TransactionAmt,0.24373925191376564
C14,0.23461878900813285
C1,0.20089205947416422
addr1_time_since_first_seen,0.18768888454900925
card1,0.1535413419378004
P_emaildomain_time_since_first_seen,0.14799051458694484
card6_freq,0.14463006963457012
C2,0.1408243019595081
D1,0.14018451701388226
D2,0.1354455341667156
card2,0.13525228819846885
card1_time_since_first_seen,0.12930070815040784
D3,0.12604309740254147
M4_freq,0.12316068422403215
card5,0.12295265528070544
M6_freq,0.10783287766633544
D4,0.10245098498669403
D15,0.09851097914952812
M5_freq,0.09486033316290443
M3_freq,0.09058206460419321
C6,0.09016219169104488
card1_604800s_count,0.0882152937034027
P_emaildomain_freq,0.08738385617330882
C11,0.08438987765609453
addr1,0.08304511110733705
card1_604800s_amount_mean,0.07857589672582348
D10,0.06753144773838297
C9,0.05588655735642772
D5,0.05533225237017868
D11,0.05289445061722447
R_emaildomain_freq,0.051591044875760106
dist1,0.04797994105763733
M9_freq,0.043662068548430744
card1_time_since_last,0.040010144521070934
card3,0.03996545095462527
D8,0.037030697952348174
DeviceInfo_freq,0.034920385987187046
DeviceInfo_time_since_first_seen,0.03183956575917806
id_17,0.03156141844036689
id_20,0.02988318057330845
id_31_freq,0.029632248983047702
card1_3600s_amount_mean,0.028038647455481333
D13,0.025534802933024906
card1_86400s_amount_mean,0.02491027946056206
id_32,0.02466838512967524
card1_86400s_count,0.024596070936795014
id_30_freq,0.024272198881244444
D14,0.023905915547531967
ProductCD_freq,0.022202403483045814
C8,0.022162359102481665
dist2,0.02202050655306478
id_02,0.02201558774954098
id_14,0.019430796459016332
D6,0.01842826044176447
card1_3600s_count,0.018423883087423442
C3,0.01625983466914815
C4,0.015584176835223468
id_06,0.014801937636003005
card4_freq,0.014634649593646926
id_13,0.01364501079448102
id_05,0.01265745471390242
id_19,0.0117301731354809
id_33_freq,0.011211777413618802
id_18,0.009213432160141075
id_36_freq,0.00890494752180419
id_01,0.008607799037799908
M7_freq,0.008375397357746436
D9,0.007680923713669975
C12,0.0074029130479530214
D7,0.006769317807393565
id_12_freq,0.00609054040560779
D12,0.0058505281090788204
id_34_freq,0.0055542823029980145
M8_freq,0.0048998017946869366
M2_freq,0.004504108150035338
C7,0.004103274398586162
id_09,0.003948945684119641
C10,0.0030187949217638293
DeviceType_freq,0.0025591443284179154
addr2,0.0020912877379153662
id_03,0.0020043871291987063
M1_freq,0.0018856378962214188
id_16_freq,0.0018839686996505514
id_07,0.0016748625955071417
id_15_freq,0.0014286813872011733
id_11,0.001204721189635878
id_37_freq,0.0011087909766013667
id_38_freq,0.0009037243408385968
id_21,0.0007961976627370064
id_25,0.0007359088465550399
id_08,0.0007072068684112674
id_22,0.00027706428127839656
id_10,0.00027194534688630906
id_04,0.00024331617283592722
id_28_freq,0.0001865408016764048
id_24,7.273964863860563e-05
DeviceInfo_is_new,5.9393524540957496e-05
id_26,4.7759437933670645e-05
addr1_is_new,0.0
card1_is_new,0.0
P_emaildomain_is_new,0.0
id_29_freq,0.0
id_27_freq,0.0
id_23_freq,0.0
id_35_freq,0.0
